Date,Open,High,Low,Close,Volume
3/31/2020,165.48,170.93,164.2,166.8,"23,676,279"
3/30/2020,159.18,166.75,158.06,165.95,"22,515,230"
3/27/2020,158.2,160.09,154.75,156.79,"24,879,869"
3/26/2020,158.25,164,157.02,163.34,"26,579,020"
3/25/2020,158.92,162.99,153.06,156.21,"35,184,273"
3/24/2020,155.21,161.31,152.57,160.98,"30,440,369"
3/23/2020,149.66,152.31,142.25,148.1,"29,830,770"
3/20/2020,156.02,159.27,148,149.73,"32,568,400"
3/19/2020,146.62,159.93,144.8,153.13,"39,862,312"
3/18/2020,139.75,148.18,137.1,146.96,"37,553,141"
3/17/2020,150.74,153.94,140,149.42,"34,255,602"
3/16/2020,152.32,159.13,143.1,146.01,"39,120,422"
3/13/2020,163.53,170.79,157.6,170.28,"35,028,633"
3/12/2020,159.54,166.6,154.34,154.47,"43,266,340"
3/11/2020,174.01,175.88,167.66,170.24,"20,397,199"
3/10/2020,174.67,178.29,169.5,178.19,"24,517,789"
3/9/2020,169.6,175,165.19,169.5,"29,949,039"
3/6/2020,178.33,183.78,176.26,181.09,"24,559,551"
3/5/2020,186.78,188.99,183.89,185.17,"19,333,430"
3/4/2020,189.17,191.83,186.39,191.76,"23,062,471"
3/3/2020,196.22,197.24,183.97,185.89,"27,984,100"
3/2/2020,194.03,196.57,188.85,196.44,"24,948,961"
2/28/2020,182.7,192.74,181.82,192.47,"32,583,490"
2/27/2020,191.82,195.88,189.5,189.75,"21,682,631"
2/26/2020,197.19,201.21,195.49,197.2,"16,555,211"
2/25/2020,202.25,203.5,195.95,196.77,"21,433,490"
2/24/2020,201.8,203.65,198.17,200.72,"23,080,061"
2/21/2020,213.48,214.24,208.83,210.18,"14,098,430"
2/20/2020,216.52,218.77,212.95,214.58,"13,109,210"
2/19/2020,217.99,218.32,216.11,217.49,"12,135,110"
2/18/2020,213.55,217.98,213.4,217.8,"15,630,030"
2/14/2020,214,214.93,212.65,214.18,"10,741,750"
2/13/2020,209.52,214.33,209.18,213.14,"15,396,630"
2/12/2020,207.85,211.22,207.4,210.76,"13,813,700"
2/11/2020,210.19,210.86,206.51,207.19,"25,030,811"
2/10/2020,211.52,213.8,210.66,213.06,"11,856,350"
