Date,Open,High,Low,Close,Volume
2/7/2020,210.3,212.82,209.93,212.33,"12,242,530"
2/6/2020,210.47,211.19,209.34,210.85,"10,567,530"
2/5/2020,212.51,212.73,208.71,210.11,"12,538,150"
2/4/2020,206.62,210.6,205.2,209.83,"19,628,891"
2/3/2020,203.44,205.14,202.5,204.19,"15,510,510"
1/31/2020,208.43,208.69,201.06,201.91,"31,359,920"
1/30/2020,206.53,211.43,204.75,209.53,"48,775,500"
1/29/2020,221.44,224.2,218.45,223.23,"33,610,008"
1/28/2020,216.14,218.74,213.52,217.79,"13,413,840"
1/27/2020,213.1,216.06,212.5,214.87,"13,810,660"
1/24/2020,220.8,221.78,216.11,217.94,"11,905,820"
1/23/2020,220.75,221.49,219.27,219.76,"11,195,000"
1/22/2020,222.31,222.75,221.28,221.32,"12,212,810"
1/21/2020,222.16,222.37,219.12,221.44,"14,275,780"
1/17/2020,222.03,222.29,220.53,222.14,"15,905,940"
1/16/2020,222.57,222.63,220.39,221.77,"10,015,290"
1/15/2020,220.61,221.68,220.14,221.15,"10,036,480"
1/14/2020,221.61,222.38,218.63,219.06,"13,315,360"
1/13/2020,219.6,221.97,219.21,221.91,"14,494,520"
1/10/2020,219.2,219.88,217.42,218.06,"12,127,430"
1/9/2020,217.54,218.38,216.28,218.3,"12,679,580"
1/8/2020,213,216.24,212.61,215.22,"13,492,700"
1/7/2020,212.82,214.58,211.75,213.06,"15,111,860"
1/6/2020,206.7,212.78,206.52,212.6,"17,073,859"
1/3/2020,207.21,210.4,206.95,208.67,"11,197,420"
1/2/2020,206.75,209.79,206.27,209.78,"12,090,710"
12/31/2019,204,205.56,203.6,205.25,"8,962,756"
12/30/2019,207.86,207.9,203.9,204.41,"10,534,440"
12/27/2019,208.67,208.93,206.59,208.1,"10,287,630"
12/26/2019,205.57,207.82,205.31,207.79,"9,368,273"
12/24/2019,206.3,206.79,205,205.12,"6,046,273"
12/23/2019,206.7,208.59,205.68,206.18,"13,353,190"
12/20/2019,207.48,207.71,203.43,206.3,"27,315,230"
12/19/2019,202.78,206.3,202.51,206.06,"16,808,180"
12/18/2019,200.09,204.3,200.09,202.5,"23,284,750"
12/17/2019,198.84,199,196.13,198.39,"10,177,610"
12/16/2019,195.27,199.12,194.81,197.92,"14,922,730"
12/13/2019,196.4,196.8,193.17,194.11,"18,605,650"
12/12/2019,202.35,203.66,194.1,196.75,"23,766,990"
12/11/2019,200.28,202.63,200.28,202.26,"8,041,827"
12/10/2019,201.66,202.05,200.15,200.87,"9,485,568"
12/9/2019,200.65,203.14,200.21,201.34,"12,013,220"
12/6/2019,200.5,201.57,200.06,201.05,"12,279,530"
12/5/2019,199.86,201.29,198.21,199.36,"9,755,350"
12/4/2019,200,200.03,198.05,198.71,"8,459,939"
12/3/2019,197.6,198.93,195.08,198.82,"13,014,170"
12/2/2019,202.13,202.18,198.05,199.7,"11,542,020"
11/29/2019,201.6,203.8,201.21,201.64,"7,985,231"
11/27/2019,199.9,203.14,199.42,202,"12,760,570"
11/26/2019,200,200.15,198.04,198.97,"11,748,660"
11/25/2019,199.52,200.97,199.25,199.79,"15,286,440"
11/22/2019,198.38,199.3,197.62,198.82,"9,959,817"
11/21/2019,197.42,199.09,196.86,197.93,"12,130,990"
11/20/2019,198.58,199.59,195.43,197.51,"12,370,240"
11/19/2019,197.4,200,196.86,199.32,"19,070,289"
11/18/2019,194.56,198.63,193.05,197.4,"16,176,110"
11/15/2019,194.26,195.3,193.38,195.1,"11,530,230"
11/14/2019,192.93,194.03,191.45,193.15,"9,059,897"
11/13/2019,194.7,195.7,192.74,193.19,"11,009,800"
11/12/2019,190,195.06,189.74,194.47,"17,615,449"
11/11/2019,189.93,190.08,188.54,189.61,"8,637,768"
11/8/2019,190,192.34,189.7,190.84,"10,764,780"
11/7/2019,191.91,193.44,189.47,190.42,"13,473,000"
11/6/2019,194.03,194.37,191.35,191.55,"10,973,020"
11/5/2019,195.37,195.75,193.6,194.32,"9,941,954"
11/4/2019,194.55,197.37,193.81,194.72,"16,371,290"
11/1/2019,192.85,194.11,189.91,193.62,"21,711,830"
10/31/2019,196.7,198.09,188.25,191.65,"42,286,527"
10/30/2019,189.56,190.45,185.98,188.25,"28,734,561"
10/29/2019,191.69,192.53,188.47,189.31,"13,574,870"
10/28/2019,187.2,189.53,185.08,189.4,"13,657,870"
10/25/2019,185.83,189,185.09,187.89,"8,061,240"
10/24/2019,184.62,186.73,182.8,186.38,"11,505,410"
10/23/2019,182.01,186.38,182,186.15,"12,370,820"
10/22/2019,190,190.65,181.5,182.34,"19,854,189"
10/21/2019,187.04,189.91,186.75,189.76,"8,580,744"
10/18/2019,190.23,191.49,183.92,185.85,"16,882,859"
10/17/2019,190.3,190.84,188.77,190.39,"9,761,548"
10/16/2019,188.32,189.7,186.9,189.55,"10,560,340"
10/15/2019,183.8,190.38,183.66,188.89,"15,143,120"
10/14/2019,184.2,184.62,182.57,183.28,"7,203,665"
10/11/2019,182.15,186.49,182.14,184.19,"14,998,750"
10/10/2019,180.32,181.61,179.17,180.03,"8,980,978"
10/9/2019,179.16,180.72,177.94,179.85,"7,648,874"
10/8/2019,178.26,180.37,177.72,177.75,"10,084,900"
10/7/2019,180,181.18,178.09,179.68,"9,359,793"
10/4/2019,179.55,180.98,178.1,180.45,"10,476,400"
10/3/2019,175.57,179.84,173.63,179.38,"16,789,320"
10/2/2019,174.84,176.53,173.09,174.6,"16,374,150"
10/1/2019,179.15,179.84,174.88,175.81,"17,261,561"
9/30/2019,177.87,178.67,176.85,178.08,"11,071,430"
9/27/2019,180.49,180.76,175.66,177.1,"14,663,580"
9/26/2019,181.33,181.4,177.67,180.11,"16,280,690"
9/25/2019,181.45,183.42,177.87,182.8,"18,339,961"
9/24/2019,187.98,188.04,180.39,181.28,"18,775,670"
9/23/2019,189.34,190.1,185.21,186.82,"14,370,090"
9/20/2019,190.66,193.1,188.12,189.93,"20,359,881"
9/19/2019,188.66,191.1,188.15,190.14,"10,474,690"
9/18/2019,188.09,189.08,186.01,188.14,"9,945,798"
9/17/2019,186.66,188.32,185.54,188.08,"9,751,570"
9/16/2019,186.93,187.79,185.77,186.22,"8,444,844"
9/13/2019,187.33,187.97,186.54,187.19,"11,441,120"
9/12/2019,189.86,190.93,187.23,187.47,"11,419,780"
9/11/2019,186.46,189.44,186.08,188.49,"11,761,660"
9/10/2019,187.44,188.1,184.55,186.17,"15,455,870"
9/9/2019,187.73,188.98,185.85,188.76,"14,722,400"
9/6/2019,190.21,190.21,186.35,187.49,"15,226,820"
9/5/2019,188.53,191.36,187.94,190.9,"13,896,620"
9/4/2019,184.65,187.75,183.89,187.14,"11,314,570"
9/3/2019,184,185.67,182.11,182.39,"9,792,187"
8/30/2019,186.78,186.8,183.46,185.67,"10,785,720"
8/29/2019,183.77,186.08,183.47,185.57,"10,135,030"
8/28/2019,180.53,181.95,178.92,181.76,"9,392,060"
8/27/2019,181.93,184.04,181.01,181.3,"14,408,950"
8/26/2019,179.4,180.5,178.24,180.36,"8,780,477"
8/23/2019,180.84,183.13,176.66,177.75,"17,331,221"
8/22/2019,183.43,184.11,179.91,182.04,"10,829,510"
8/21/2019,185,185.9,183.14,183.55,"8,409,548"
8/20/2019,185.45,186,182.39,183.81,"10,087,590"
8/19/2019,186.01,187.5,184.85,186.17,"9,699,661"
8/16/2019,183.75,185.1,182.36,183.7,"12,844,830"
8/15/2019,180.95,183.2,180.03,182.59,"13,059,640"
8/14/2019,185.8,185.99,179.31,179.71,"18,903,721"
